rebalance_id,signal_date,trade_date,as_of_date,signal_id,instrument_key,symbol,display_name,target_weight,signal_value,include_flag,rationale_text
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.209240327130,8072652444,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.151766523443,5855268978,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.150678906852,5813307895,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.115914541478,4472071992,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::META,mirror::META,META,Facebook Inc,0.094304732685,3638348980,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.084736419416,3269196109,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.081830254044,3157074018,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.080066974510,3089045340,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.024915789046,961270268,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.006545531398,252531626,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.180395720585,7473560009,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.174890261314,7245475994,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.160658597437,6655876675,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.152677924137,6325247763,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.093168698563,3859857969,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::META,mirror::META,META,Facebook Inc,0.075427760814,3124873999,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.069445420094,2877033406,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.065163661403,2699645714,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.017173337401,711469026,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.010998618253,455658445,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.221810419655,13310905191,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.198433536327,11908051898,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.147594479541,8857185911,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.130148699540,7810259784,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::META,mirror::META,META,Facebook Inc,0.087690039870,5262303767,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.075317065038,4519798094,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.062639213653,3758996694,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.049245703041,2955248384,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.021511162410,1290890860,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.005609680925,336638518,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.239752637786,21646804706,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.191313634927,17273340269,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.160837907604,14521745443,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
n2::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.125921491777,11369209390,1,Preserve NBIM relative market-value weights within the selected core US mirror sleeve.
